Date (GMT +11);testDataYear
05 Dec 2021 12:21:28;28.67,point {  fill-color: #F05323; }
05 Dec 2021 12:11:21;28.09,point {  fill-color: #F05323; }
05 Dec 2021 12:01:14;28.74,point {  fill-color: #F05323; }
05 Dec 2021 11:51:07;28.53,point {  fill-color: #F05323; }
05 Dec 2021 11:41:00;25.94,point {  fill-color: #F05323; }
05 Dec 2021 11:30:52;29.06,point {  fill-color: #F05323; }
05 Dec 2021 11:20:45;30.85,point {  fill-color: #F05323; }
05 Dec 2021 11:10:38;26.12,point {  fill-color: #F05323; }
05 Dec 2021 11:00:31;34.05,point {  fill-color: #F05323; }
05 Dec 2021 10:50:23;25.21,point {  fill-color: #F05323; }
05 Dec 2021 10:40:16;28.79,point {  fill-color: #F05323; }
05 Dec 2021 10:30:09;33.51,point {  fill-color: #F05323; }
05 Dec 2021 10:20:02;31.54,point {  fill-color: #F05323; }
05 Dec 2021 10:09:55;34.29,point {  fill-color: #F05323; }
05 Dec 2021 09:59:48;26.96,point {  fill-color: #F05323; }
05 Dec 2021 09:49:40;34.38,point {  fill-color: #F05323; }
05 Dec 2021 09:39:33;32.09,point {  fill-color: #F05323; }
05 Dec 2021 09:29:26;29.16,point {  fill-color: #F05323; }
05 Dec 2021 09:19:19;33.33,point {  fill-color: #F05323; }
05 Dec 2021 09:09:12;27.70,point {  fill-color: #F05323; }
05 Dec 2021 08:59:05;27.71,point {  fill-color: #F05323; }
06 Dec 2021 13:42:26;27.77,point {  fill-color: #F05323; }
06 Dec 2021 13:52:33;25.73,point {  fill-color: #F05323; }
06 Dec 2021 13:32:18;29.37,point {  fill-color: #F05323; }
06 Dec 2021 13:22:11;31.49,point {  fill-color: #F05323; }
06 Dec 2021 13:12:04;26.79,point {  fill-color: #F05323; }
06 Dec 2021 13:01:57;32.65,point {  fill-color: #F05323; }
06 Dec 2021 12:51:50;33.64,point {  fill-color: #F05323; }
06 Dec 2021 12:41:43;34.96,point {  fill-color: #F05323; }
06 Dec 2021 12:31:36;30.55,point {  fill-color: #F05323; }
06 Dec 2021 12:21:28;28.09,point {  fill-color: #F05323; }
06 Dec 2021 12:11:21;25.89,point {  fill-color: #F05323; }
06 Dec 2021 12:01:14;26.17,point {  fill-color: #F05323; }
06 Dec 2021 11:51:07;28.10,point {  fill-color: #F05323; }
06 Dec 2021 11:41:00;26.79,point {  fill-color: #F05323; }
06 Dec 2021 11:30:52;28.87,point {  fill-color: #F05323; }
06 Dec 2021 11:20:45;31.99,point {  fill-color: #F05323; }
06 Dec 2021 11:10:38;25.19,point {  fill-color: #F05323; }
06 Dec 2021 11:00:31;25.92,point {  fill-color: #F05323; }
06 Dec 2021 10:50:23;27.18,point {  fill-color: #F05323; }
06 Dec 2021 10:40:16;32.14,point {  fill-color: #F05323; }
06 Dec 2021 10:30:09;31.42,point {  fill-color: #F05323; }
06 Dec 2021 10:20:02;33.77,point {  fill-color: #F05323; }
06 Dec 2021 10:09:55;29.03,point {  fill-color: #F05323; }
06 Dec 2021 09:59:48;31.19,point {  fill-color: #F05323; }
06 Dec 2021 09:49:40;28.32,point {  fill-color: #F05323; }
06 Dec 2021 09:39:33;30.80,point {  fill-color: #F05323; }
06 Dec 2021 09:29:26;28.09,point {  fill-color: #F05323; }
06 Dec 2021 09:19:19;27.02,point {  fill-color: #F05323; }
06 Dec 2021 09:09:12;28.75,point {  fill-color: #F05323; }
06 Dec 2021 08:59:05;34.62,point {  fill-color: #F05323; }
07 Dec 2021 13:42:26;25.42,point {  fill-color: #F05323; }
07 Dec 2021 13:52:33;25.08,point {  fill-color: #F05323; }
07 Dec 2021 13:32:18;33.15,point {  fill-color: #F05323; }
07 Dec 2021 13:22:11;30.17,point {  fill-color: #F05323; }
07 Dec 2021 13:12:04;32.51,point {  fill-color: #F05323; }
07 Dec 2021 13:01:57;27.18,point {  fill-color: #F05323; }
07 Dec 2021 12:51:50;30.52,point {  fill-color: #F05323; }
07 Dec 2021 12:41:43;25.86,point {  fill-color: #F05323; }
07 Dec 2021 12:31:36;28.19,point {  fill-color: #F05323; }
07 Dec 2021 12:21:28;26.67,point {  fill-color: #F05323; }
07 Dec 2021 12:11:21;34.87,point {  fill-color: #F05323; }
07 Dec 2021 12:01:14;28.69,point {  fill-color: #F05323; }
07 Dec 2021 11:51:07;33.76,point {  fill-color: #F05323; }
07 Dec 2021 11:41:00;29.09,point {  fill-color: #F05323; }
07 Dec 2021 11:30:52;32.14,point {  fill-color: #F05323; }
07 Dec 2021 11:20:45;28.00,point {  fill-color: #F05323; }
07 Dec 2021 11:10:38;25.95,point {  fill-color: #F05323; }
07 Dec 2021 11:00:31;34.23,point {  fill-color: #F05323; }
07 Dec 2021 10:50:23;33.38,point {  fill-color: #F05323; }
07 Dec 2021 10:40:16;30.99,point {  fill-color: #F05323; }
07 Dec 2021 10:30:09;29.36,point {  fill-color: #F05323; }
07 Dec 2021 10:20:02;32.33,point {  fill-color: #F05323; }
07 Dec 2021 10:09:55;33.56,point {  fill-color: #F05323; }
07 Dec 2021 09:59:48;26.67,point {  fill-color: #F05323; }
07 Dec 2021 09:49:40;25.75,point {  fill-color: #F05323; }
07 Dec 2021 09:39:33;32.11,point {  fill-color: #F05323; }
07 Dec 2021 09:29:26;29.62,point {  fill-color: #F05323; }
07 Dec 2021 09:19:19;27.41,point {  fill-color: #F05323; }
07 Dec 2021 09:09:12;28.85,point {  fill-color: #F05323; }
07 Dec 2021 08:59:05;30.26,point {  fill-color: #F05323; }
08 Dec 2021 13:42:26;29.57,point {  fill-color: #F05323; }
08 Dec 2021 13:52:33;29.56,point {  fill-color: #F05323; }
08 Dec 2021 13:32:18;34.29,point {  fill-color: #F05323; }
08 Dec 2021 13:22:11;27.56,point {  fill-color: #F05323; }
08 Dec 2021 13:12:04;30.42,point {  fill-color: #F05323; }
08 Dec 2021 13:01:57;25.33,point {  fill-color: #F05323; }
08 Dec 2021 12:51:50;31.31,point {  fill-color: #F05323; }
08 Dec 2021 12:41:43;29.88,point {  fill-color: #F05323; }
08 Dec 2021 12:31:36;28.99,point {  fill-color: #F05323; }
08 Dec 2021 12:21:28;26.89,point {  fill-color: #F05323; }
08 Dec 2021 12:11:21;31.41,point {  fill-color: #F05323; }
08 Dec 2021 12:01:14;25.42,point {  fill-color: #F05323; }
08 Dec 2021 11:51:07;26.80,point {  fill-color: #F05323; }
08 Dec 2021 11:41:00;27.39,point {  fill-color: #F05323; }
08 Dec 2021 11:30:52;33.95,point {  fill-color: #F05323; }
08 Dec 2021 11:20:45;25.50,point {  fill-color: #F05323; }
08 Dec 2021 11:10:38;29.44,point {  fill-color: #F05323; }
08 Dec 2021 11:00:31;33.75,point {  fill-color: #F05323; }
08 Dec 2021 10:50:23;33.70,point {  fill-color: #F05323; }
08 Dec 2021 10:40:16;34.51,point {  fill-color: #F05323; }
08 Dec 2021 10:30:09;29.14,point {  fill-color: #F05323; }
08 Dec 2021 10:20:02;26.00,point {  fill-color: #F05323; }
08 Dec 2021 10:09:55;30.84,point {  fill-color: #F05323; }
08 Dec 2021 09:59:48;28.23,point {  fill-color: #F05323; }
08 Dec 2021 09:49:40;25.56,point {  fill-color: #F05323; }
08 Dec 2021 09:39:33;33.01,point {  fill-color: #F05323; }
08 Dec 2021 09:29:26;26.42,point {  fill-color: #F05323; }
08 Dec 2021 09:19:19;27.14,point {  fill-color: #F05323; }
08 Dec 2021 09:09:12;25.66,point {  fill-color: #F05323; }
08 Dec 2021 08:59:05;30.52,point {  fill-color: #F05323; }
09 Dec 2021 13:42:26;28.27,point {  fill-color: #F05323; }
09 Dec 2021 13:52:33;34.96,point {  fill-color: #F05323; }
09 Dec 2021 13:32:18;27.18,point {  fill-color: #F05323; }
09 Dec 2021 13:22:11;32.16,point {  fill-color: #F05323; }
09 Dec 2021 13:12:04;31.42,point {  fill-color: #F05323; }
09 Dec 2021 13:01:57;32.39,point {  fill-color: #F05323; }
09 Dec 2021 12:51:50;30.82,point {  fill-color: #F05323; }
09 Dec 2021 12:41:43;32.97,point {  fill-color: #F05323; }
09 Dec 2021 12:31:36;25.96,point {  fill-color: #F05323; }
09 Dec 2021 12:21:28;28.95,point {  fill-color: #F05323; }
09 Dec 2021 12:11:21;32.83,point {  fill-color: #F05323; }
09 Dec 2021 12:01:14;30.63,point {  fill-color: #F05323; }
09 Dec 2021 11:51:07;30.14,point {  fill-color: #F05323; }
09 Dec 2021 11:41:00;27.72,point {  fill-color: #F05323; }
09 Dec 2021 11:30:52;33.68,point {  fill-color: #F05323; }
09 Dec 2021 11:20:45;27.12,point {  fill-color: #F05323; }
09 Dec 2021 11:10:38;26.12,point {  fill-color: #F05323; }
09 Dec 2021 11:00:31;27.73,point {  fill-color: #F05323; }
09 Dec 2021 10:50:23;30.93,point {  fill-color: #F05323; }
09 Dec 2021 10:40:16;34.10,point {  fill-color: #F05323; }
09 Dec 2021 10:30:09;31.79,point {  fill-color: #F05323; }
09 Dec 2021 10:20:02;26.37,point {  fill-color: #F05323; }
09 Dec 2021 10:09:55;27.76,point {  fill-color: #F05323; }
09 Dec 2021 09:59:48;26.97,point {  fill-color: #F05323; }
09 Dec 2021 09:49:40;26.12,point {  fill-color: #F05323; }
09 Dec 2021 09:39:33;32.88,point {  fill-color: #F05323; }
09 Dec 2021 09:29:26;28.20,point {  fill-color: #F05323; }
09 Dec 2021 09:19:19;30.82,point {  fill-color: #F05323; }
09 Dec 2021 09:09:12;27.26,point {  fill-color: #F05323; }
09 Dec 2021 08:59:05;32.65,point {  fill-color: #F05323; }
10 Dec 2021 13:42:26;30.19,point {  fill-color: #F05323; }
10 Dec 2021 13:52:33;32.60,point {  fill-color: #F05323; }
10 Dec 2021 13:32:18;25.90,point {  fill-color: #F05323; }
10 Dec 2021 13:22:11;30.06,point {  fill-color: #F05323; }
10 Dec 2021 13:12:04;25.19,point {  fill-color: #F05323; }
10 Dec 2021 13:01:57;29.00,point {  fill-color: #F05323; }
10 Dec 2021 12:51:50;32.23,point {  fill-color: #F05323; }
10 Dec 2021 12:41:43;27.11,point {  fill-color: #F05323; }
10 Dec 2021 12:31:36;34.49,point {  fill-color: #F05323; }
10 Dec 2021 12:21:28;32.64,point {  fill-color: #F05323; }
10 Dec 2021 12:11:21;34.89,point {  fill-color: #F05323; }
10 Dec 2021 12:01:14;26.12,point {  fill-color: #F05323; }
10 Dec 2021 11:51:07;34.31,point {  fill-color: #F05323; }
10 Dec 2021 11:41:00;34.71,point {  fill-color: #F05323; }
10 Dec 2021 11:30:52;30.87,point {  fill-color: #F05323; }
10 Dec 2021 11:20:45;29.70,point {  fill-color: #F05323; }
10 Dec 2021 11:10:38;31.29,point {  fill-color: #F05323; }
10 Dec 2021 11:00:31;27.70,point {  fill-color: #F05323; }
10 Dec 2021 10:50:23;25.11,point {  fill-color: #F05323; }
10 Dec 2021 10:40:16;29.98,point {  fill-color: #F05323; }
10 Dec 2021 10:30:09;33.15,point {  fill-color: #F05323; }
10 Dec 2021 10:20:02;28.32,point {  fill-color: #F05323; }
10 Dec 2021 10:09:55;29.78,point {  fill-color: #F05323; }
10 Dec 2021 09:59:48;34.33,point {  fill-color: #F05323; }
10 Dec 2021 09:49:40;26.24,point {  fill-color: #F05323; }
10 Dec 2021 09:39:33;27.80,point {  fill-color: #F05323; }
10 Dec 2021 09:29:26;25.65,point {  fill-color: #F05323; }
10 Dec 2021 09:19:19;31.98,point {  fill-color: #F05323; }
10 Dec 2021 09:09:12;25.05,point {  fill-color: #F05323; }
10 Dec 2021 08:59:05;27.18,point {  fill-color: #F05323; }
11 Dec 2021 13:42:26;27.39,point {  fill-color: #F05323; }
11 Dec 2021 13:52:33;25.09,point {  fill-color: #F05323; }
11 Dec 2021 13:32:18;30.38,point {  fill-color: #F05323; }
11 Dec 2021 13:22:11;28.88,point {  fill-color: #F05323; }
11 Dec 2021 13:12:04;32.22,point {  fill-color: #F05323; }
11 Dec 2021 13:01:57;27.76,point {  fill-color: #F05323; }
11 Dec 2021 12:51:50;32.06,point {  fill-color: #F05323; }
11 Dec 2021 12:41:43;26.04,point {  fill-color: #F05323; }
11 Dec 2021 12:31:36;26.89,point {  fill-color: #F05323; }
11 Dec 2021 12:21:28;26.82,point {  fill-color: #F05323; }
11 Dec 2021 12:11:21;33.06,point {  fill-color: #F05323; }
11 Dec 2021 12:01:14;30.72,point {  fill-color: #F05323; }
11 Dec 2021 11:51:07;26.21,point {  fill-color: #F05323; }
11 Dec 2021 11:41:00;34.82,point {  fill-color: #F05323; }
11 Dec 2021 11:30:52;29.60,point {  fill-color: #F05323; }
11 Dec 2021 11:20:45;34.01,point {  fill-color: #F05323; }
11 Dec 2021 11:10:38;29.89,point {  fill-color: #F05323; }
11 Dec 2021 11:00:31;28.73,point {  fill-color: #F05323; }
11 Dec 2021 10:50:23;34.29,point {  fill-color: #F05323; }
11 Dec 2021 10:40:16;27.72,point {  fill-color: #F05323; }
11 Dec 2021 10:30:09;30.82,point {  fill-color: #F05323; }
11 Dec 2021 10:20:02;33.74,point {  fill-color: #F05323; }
11 Dec 2021 10:09:55;27.20,point {  fill-color: #F05323; }
11 Dec 2021 09:59:48;25.20,point {  fill-color: #F05323; }
11 Dec 2021 09:49:40;25.00,point {  fill-color: #F05323; }
11 Dec 2021 09:39:33;25.30,point {  fill-color: #F05323; }
11 Dec 2021 09:29:26;32.49,point {  fill-color: #F05323; }
11 Dec 2021 09:19:19;32.12,point {  fill-color: #F05323; }
11 Dec 2021 09:09:12;29.20,point {  fill-color: #F05323; }
11 Dec 2021 08:59:05;27.08,point {  fill-color: #F05323; }
12 Dec 2021 13:42:26;28.73,point {  fill-color: #F05323; }
12 Dec 2021 13:52:33;25.59,point {  fill-color: #F05323; }
12 Dec 2021 13:32:18;28.49,point {  fill-color: #F05323; }
12 Dec 2021 13:22:11;30.51,point {  fill-color: #F05323; }
12 Dec 2021 13:12:04;33.02,point {  fill-color: #F05323; }
12 Dec 2021 13:01:57;29.85,point {  fill-color: #F05323; }
12 Dec 2021 12:51:50;34.91,point {  fill-color: #F05323; }
12 Dec 2021 12:41:43;32.00,point {  fill-color: #F05323; }
12 Dec 2021 12:31:36;28.10,point {  fill-color: #F05323; }
12 Dec 2021 12:21:28;34.85,point {  fill-color: #F05323; }
12 Dec 2021 12:11:21;26.05,point {  fill-color: #F05323; }
12 Dec 2021 12:01:14;30.17,point {  fill-color: #F05323; }
12 Dec 2021 11:51:07;30.68,point {  fill-color: #F05323; }
12 Dec 2021 11:41:00;30.35,point {  fill-color: #F05323; }
12 Dec 2021 11:30:52;26.44,point {  fill-color: #F05323; }
12 Dec 2021 11:20:45;34.14,point {  fill-color: #F05323; }
12 Dec 2021 11:10:38;29.58,point {  fill-color: #F05323; }
12 Dec 2021 11:00:31;31.57,point {  fill-color: #F05323; }
12 Dec 2021 10:50:23;25.71,point {  fill-color: #F05323; }
12 Dec 2021 10:40:16;30.70,point {  fill-color: #F05323; }
12 Dec 2021 10:30:09;33.94,point {  fill-color: #F05323; }
12 Dec 2021 10:20:02;26.99,point {  fill-color: #F05323; }
12 Dec 2021 10:09:55;29.23,point {  fill-color: #F05323; }
12 Dec 2021 09:59:48;33.15,point {  fill-color: #F05323; }
12 Dec 2021 09:49:40;25.27,point {  fill-color: #F05323; }
12 Dec 2021 09:39:33;30.08,point {  fill-color: #F05323; }
12 Dec 2021 09:29:26;28.75,point {  fill-color: #F05323; }
12 Dec 2021 09:19:19;27.82,point {  fill-color: #F05323; }
12 Dec 2021 09:09:12;26.60,point {  fill-color: #F05323; }
12 Dec 2021 08:59:05;30.29,point {  fill-color: #F05323; }
13 Dec 2021 13:42:26;26.49,point {  fill-color: #F05323; }
13 Dec 2021 13:52:33;27.61,point {  fill-color: #F05323; }
13 Dec 2021 13:32:18;30.84,point {  fill-color: #F05323; }
13 Dec 2021 13:22:11;33.98,point {  fill-color: #F05323; }
13 Dec 2021 13:12:04;27.59,point {  fill-color: #F05323; }
13 Dec 2021 13:01:57;30.82,point {  fill-color: #F05323; }
13 Dec 2021 12:51:50;34.99,point {  fill-color: #F05323; }
13 Dec 2021 12:41:43;32.36,point {  fill-color: #F05323; }
13 Dec 2021 12:31:36;34.67,point {  fill-color: #F05323; }
13 Dec 2021 12:21:28;32.97,point {  fill-color: #F05323; }
13 Dec 2021 12:11:21;30.24,point {  fill-color: #F05323; }
13 Dec 2021 12:01:14;26.70,point {  fill-color: #F05323; }
13 Dec 2021 11:51:07;30.91,point {  fill-color: #F05323; }
13 Dec 2021 11:41:00;26.72,point {  fill-color: #F05323; }
13 Dec 2021 11:30:52;33.23,point {  fill-color: #F05323; }
13 Dec 2021 11:20:45;32.59,point {  fill-color: #F05323; }
13 Dec 2021 11:10:38;28.94,point {  fill-color: #F05323; }
13 Dec 2021 11:00:31;26.94,point {  fill-color: #F05323; }
13 Dec 2021 10:50:23;29.06,point {  fill-color: #F05323; }
13 Dec 2021 10:40:16;29.68,point {  fill-color: #F05323; }
13 Dec 2021 10:30:09;25.77,point {  fill-color: #F05323; }
13 Dec 2021 10:20:02;26.18,point {  fill-color: #F05323; }
13 Dec 2021 10:09:55;34.05,point {  fill-color: #F05323; }
13 Dec 2021 09:59:48;33.52,point {  fill-color: #F05323; }
13 Dec 2021 09:49:40;32.01,point {  fill-color: #F05323; }
13 Dec 2021 09:39:33;30.79,point {  fill-color: #F05323; }
13 Dec 2021 09:29:26;32.90,point {  fill-color: #F05323; }
13 Dec 2021 09:19:19;30.10,point {  fill-color: #F05323; }
13 Dec 2021 09:09:12;33.38,point {  fill-color: #F05323; }
13 Dec 2021 08:59:05;32.35,point {  fill-color: #F05323; }
14 Dec 2021 13:42:26;34.09,point {  fill-color: #F05323; }
14 Dec 2021 13:52:33;31.98,point {  fill-color: #F05323; }
14 Dec 2021 13:32:18;34.49,point {  fill-color: #F05323; }
14 Dec 2021 13:22:11;28.18,point {  fill-color: #F05323; }
14 Dec 2021 13:12:04;28.35,point {  fill-color: #F05323; }
14 Dec 2021 13:01:57;30.62,point {  fill-color: #F05323; }
14 Dec 2021 12:51:50;26.17,point {  fill-color: #F05323; }
14 Dec 2021 12:41:43;31.91,point {  fill-color: #F05323; }
14 Dec 2021 12:31:36;25.61,point {  fill-color: #F05323; }
14 Dec 2021 12:21:28;33.69,point {  fill-color: #F05323; }
14 Dec 2021 12:11:21;28.97,point {  fill-color: #F05323; }
14 Dec 2021 12:01:14;29.00,point {  fill-color: #F05323; }
14 Dec 2021 11:51:07;31.06,point {  fill-color: #F05323; }
14 Dec 2021 11:41:00;29.24,point {  fill-color: #F05323; }
14 Dec 2021 11:30:52;30.73,point {  fill-color: #F05323; }
14 Dec 2021 11:20:45;34.53,point {  fill-color: #F05323; }
14 Dec 2021 11:10:38;30.48,point {  fill-color: #F05323; }
14 Dec 2021 11:00:31;32.29,point {  fill-color: #F05323; }
14 Dec 2021 10:50:23;28.95,point {  fill-color: #F05323; }
14 Dec 2021 10:40:16;34.71,point {  fill-color: #F05323; }
14 Dec 2021 10:30:09;28.07,point {  fill-color: #F05323; }
14 Dec 2021 10:20:02;35.00,point {  fill-color: #F05323; }
14 Dec 2021 10:09:55;33.52,point {  fill-color: #F05323; }
14 Dec 2021 09:59:48;28.36,point {  fill-color: #F05323; }
14 Dec 2021 09:49:40;31.62,point {  fill-color: #F05323; }
14 Dec 2021 09:39:33;30.27,point {  fill-color: #F05323; }
14 Dec 2021 09:29:26;27.11,point {  fill-color: #F05323; }
14 Dec 2021 09:19:19;25.12,point {  fill-color: #F05323; }
14 Dec 2021 09:09:12;26.75,point {  fill-color: #F05323; }
14 Dec 2021 08:59:05;26.69,point {  fill-color: #F05323; }
15 Dec 2021 13:42:26;27.17,point {  fill-color: #F05323; }
15 Dec 2021 13:52:33;27.46,point {  fill-color: #F05323; }
15 Dec 2021 13:32:18;32.84,point {  fill-color: #F05323; }
15 Dec 2021 13:22:11;33.29,point {  fill-color: #F05323; }
15 Dec 2021 13:12:04;25.33,point {  fill-color: #F05323; }
15 Dec 2021 13:01:57;27.79,point {  fill-color: #F05323; }
15 Dec 2021 12:51:50;26.26,point {  fill-color: #F05323; }
15 Dec 2021 12:41:43;30.69,point {  fill-color: #F05323; }
15 Dec 2021 12:31:36;26.78,point {  fill-color: #F05323; }
15 Dec 2021 12:21:28;26.16,point {  fill-color: #F05323; }
15 Dec 2021 12:11:21;31.78,point {  fill-color: #F05323; }
15 Dec 2021 12:01:14;34.60,point {  fill-color: #F05323; }
15 Dec 2021 11:51:07;28.34,point {  fill-color: #F05323; }
15 Dec 2021 11:41:00;34.41,point {  fill-color: #F05323; }
15 Dec 2021 11:30:52;27.51,point {  fill-color: #F05323; }
15 Dec 2021 11:20:45;32.16,point {  fill-color: #F05323; }
15 Dec 2021 11:10:38;28.80,point {  fill-color: #F05323; }
15 Dec 2021 11:00:31;28.50,point {  fill-color: #F05323; }
15 Dec 2021 10:50:23;29.34,point {  fill-color: #F05323; }
15 Dec 2021 10:40:16;30.31,point {  fill-color: #F05323; }
15 Dec 2021 10:30:09;33.29,point {  fill-color: #F05323; }
15 Dec 2021 10:20:02;29.18,point {  fill-color: #F05323; }
15 Dec 2021 10:09:55;26.75,point {  fill-color: #F05323; }
15 Dec 2021 09:59:48;32.04,point {  fill-color: #F05323; }
15 Dec 2021 09:49:40;26.36,point {  fill-color: #F05323; }
15 Dec 2021 09:39:33;26.71,point {  fill-color: #F05323; }
15 Dec 2021 09:29:26;32.55,point {  fill-color: #F05323; }
15 Dec 2021 09:19:19;34.68,point {  fill-color: #F05323; }
15 Dec 2021 09:09:12;25.88,point {  fill-color: #F05323; }
15 Dec 2021 08:59:05;28.75,point {  fill-color: #F05323; }
16 Dec 2021 13:42:26;28.24,point {  fill-color: #F05323; }
16 Dec 2021 13:52:33;28.49,point {  fill-color: #F05323; }
16 Dec 2021 13:32:18;28.21,point {  fill-color: #F05323; }
16 Dec 2021 13:22:11;28.06,point {  fill-color: #F05323; }
16 Dec 2021 13:12:04;29.29,point {  fill-color: #F05323; }
16 Dec 2021 13:01:57;25.02,point {  fill-color: #F05323; }
16 Dec 2021 12:51:50;34.67,point {  fill-color: #F05323; }
16 Dec 2021 12:41:43;30.38,point {  fill-color: #F05323; }
16 Dec 2021 12:31:36;28.44,point {  fill-color: #F05323; }
16 Dec 2021 12:21:28;33.01,point {  fill-color: #F05323; }
16 Dec 2021 12:11:21;28.88,point {  fill-color: #F05323; }
16 Dec 2021 12:01:14;30.99,point {  fill-color: #F05323; }
16 Dec 2021 11:51:07;29.30,point {  fill-color: #F05323; }
16 Dec 2021 11:41:00;27.94,point {  fill-color: #F05323; }
16 Dec 2021 11:30:52;26.67,point {  fill-color: #F05323; }
16 Dec 2021 11:20:45;28.59,point {  fill-color: #F05323; }
16 Dec 2021 11:10:38;32.72,point {  fill-color: #F05323; }
16 Dec 2021 11:00:31;31.17,point {  fill-color: #F05323; }
16 Dec 2021 10:50:23;29.08,point {  fill-color: #F05323; }
16 Dec 2021 10:40:16;30.33,point {  fill-color: #F05323; }
16 Dec 2021 10:30:09;31.72,point {  fill-color: #F05323; }
16 Dec 2021 10:20:02;33.53,point {  fill-color: #F05323; }
16 Dec 2021 10:09:55;33.54,point {  fill-color: #F05323; }
16 Dec 2021 09:59:48;32.23,point {  fill-color: #F05323; }
16 Dec 2021 09:49:40;31.87,point {  fill-color: #F05323; }
16 Dec 2021 09:39:33;26.88,point {  fill-color: #F05323; }
16 Dec 2021 09:29:26;26.29,point {  fill-color: #F05323; }
16 Dec 2021 09:19:19;30.97,point {  fill-color: #F05323; }
16 Dec 2021 09:09:12;31.91,point {  fill-color: #F05323; }
16 Dec 2021 08:59:05;30.01,point {  fill-color: #F05323; }
17 Dec 2021 13:42:26;29.99,point {  fill-color: #F05323; }
17 Dec 2021 13:52:33;33.15,point {  fill-color: #F05323; }
17 Dec 2021 13:32:18;34.76,point {  fill-color: #F05323; }
17 Dec 2021 13:22:11;34.41,point {  fill-color: #F05323; }
17 Dec 2021 13:12:04;30.20,point {  fill-color: #F05323; }
17 Dec 2021 13:01:57;31.29,point {  fill-color: #F05323; }
17 Dec 2021 12:51:50;31.32,point {  fill-color: #F05323; }
17 Dec 2021 12:41:43;26.57,point {  fill-color: #F05323; }
17 Dec 2021 12:31:36;33.20,point {  fill-color: #F05323; }
17 Dec 2021 12:21:28;31.40,point {  fill-color: #F05323; }
17 Dec 2021 12:11:21;29.07,point {  fill-color: #F05323; }
17 Dec 2021 12:01:14;32.43,point {  fill-color: #F05323; }
17 Dec 2021 11:51:07;32.87,point {  fill-color: #F05323; }
17 Dec 2021 11:41:00;34.24,point {  fill-color: #F05323; }
17 Dec 2021 11:30:52;29.59,point {  fill-color: #F05323; }
17 Dec 2021 11:20:45;26.66,point {  fill-color: #F05323; }
17 Dec 2021 11:10:38;31.95,point {  fill-color: #F05323; }
17 Dec 2021 11:00:31;26.66,point {  fill-color: #F05323; }
17 Dec 2021 10:50:23;33.29,point {  fill-color: #F05323; }
17 Dec 2021 10:40:16;34.84,point {  fill-color: #F05323; }
17 Dec 2021 10:30:09;33.69,point {  fill-color: #F05323; }
17 Dec 2021 10:20:02;34.64,point {  fill-color: #F05323; }
17 Dec 2021 10:09:55;26.51,point {  fill-color: #F05323; }
17 Dec 2021 09:59:48;32.46,point {  fill-color: #F05323; }
17 Dec 2021 09:49:40;30.03,point {  fill-color: #F05323; }
17 Dec 2021 09:39:33;25.71,point {  fill-color: #F05323; }
17 Dec 2021 09:29:26;30.42,point {  fill-color: #F05323; }
17 Dec 2021 09:19:19;34.46,point {  fill-color: #F05323; }
17 Dec 2021 09:09:12;27.90,point {  fill-color: #F05323; }
17 Dec 2021 08:59:05;33.54,point {  fill-color: #F05323; }
18 Dec 2021 13:42:26;33.02,point {  fill-color: #F05323; }
18 Dec 2021 13:52:33;28.81,point {  fill-color: #F05323; }
18 Dec 2021 13:32:18;30.39,point {  fill-color: #F05323; }
18 Dec 2021 13:22:11;30.94,point {  fill-color: #F05323; }
18 Dec 2021 13:12:04;31.20,point {  fill-color: #F05323; }
18 Dec 2021 13:01:57;29.55,point {  fill-color: #F05323; }
18 Dec 2021 12:51:50;31.09,point {  fill-color: #F05323; }
18 Dec 2021 12:41:43;32.46,point {  fill-color: #F05323; }
18 Dec 2021 12:31:36;33.72,point {  fill-color: #F05323; }
18 Dec 2021 12:21:28;28.42,point {  fill-color: #F05323; }
18 Dec 2021 12:11:21;26.13,point {  fill-color: #F05323; }
18 Dec 2021 12:01:14;31.83,point {  fill-color: #F05323; }
18 Dec 2021 11:51:07;25.77,point {  fill-color: #F05323; }
18 Dec 2021 11:41:00;32.07,point {  fill-color: #F05323; }
18 Dec 2021 11:30:52;32.22,point {  fill-color: #F05323; }
18 Dec 2021 11:20:45;33.87,point {  fill-color: #F05323; }
18 Dec 2021 11:10:38;34.26,point {  fill-color: #F05323; }
18 Dec 2021 11:00:31;28.17,point {  fill-color: #F05323; }
18 Dec 2021 10:50:23;28.35,point {  fill-color: #F05323; }
18 Dec 2021 10:40:16;29.12,point {  fill-color: #F05323; }
18 Dec 2021 10:30:09;32.23,point {  fill-color: #F05323; }
18 Dec 2021 10:20:02;34.53,point {  fill-color: #F05323; }
18 Dec 2021 10:09:55;31.25,point {  fill-color: #F05323; }
18 Dec 2021 09:59:48;30.37,point {  fill-color: #F05323; }
18 Dec 2021 09:49:40;31.35,point {  fill-color: #F05323; }
18 Dec 2021 09:39:33;27.15,point {  fill-color: #F05323; }
18 Dec 2021 09:29:26;25.32,point {  fill-color: #F05323; }
18 Dec 2021 09:19:19;27.41,point {  fill-color: #F05323; }
18 Dec 2021 09:09:12;32.93,point {  fill-color: #F05323; }
18 Dec 2021 08:59:05;27.29,point {  fill-color: #F05323; }
